timestamp,commit,nb_pages,file_size,compilation_duration
2021-09-13 14:33:56,6b99bb169fe0db072ec846b0c66b063405ff7d4f,26,343214,10.38
2021-10-22 13:33:24,d28b361f07aa2468d33e43efa70163678da230a8,26,343214,9.29
